url,description
https://www.dlsu.edu.ph/lasallians-receive-recognition-at-the-international-conference-in-engineering-education-2025,N/A
https://www.dlsu.edu.ph/gcoe-students-sweep-awards-at-the-86th-piche-student-congress,N/A
https://www.dlsu.edu.ph/abet-reaccredits-seven-engineering-programs,N/A
https://www.dlsu.edu.ph/dlsu-inaugurates-kist-park-at-laguna-campus,N/A
https://www.dlsu.edu.ph/dlsu-prof-first-filipino-to-receive-yale-emerging-climate-leaders-fellowship,N/A
https://www.dlsu.edu.ph/lasallian-mission-in-action-for-pearl-s-buck-foundation,N/A
https://www.dlsu.edu.ph/dlsu-faculty-among-the-worlds-top-2-researchers-based-on-impact-2,N/A
https://www.dlsu.edu.ph/give,N/A
https://www.dlsu.edu.ph/back-to-reign-green-archers-take-their-stand-in-season-88,N/A
https://www.dlsu.edu.ph/the-dynasty-begins-green-aces-etch-legacy-with-back-to-back-championship-in-s87,N/A
https://www.dlsu.edu.ph/three-for-glory-green-archers-secure-historic-3x3-three-peat,N/A
https://www.dlsu.edu.ph/dlsu-woodpushers-reap-double-bronze-glory-in-s87-blitz-chess-tournament,N/A
https://www.dlsu.edu.ph/109990-2,N/A
https://www.dlsu.edu.ph/mentality-in-the-court-green-spikers-seek-redemption-in-season-87,N/A
https://www.dlsu.edu.ph/lady-jins-secure-podium-finish-to-end-uaap-season-87-campaign,N/A
https://www.dlsu.edu.ph/green-jins-end-11-year-championship-drought-with-5-0-league-sweep,N/A
https://www.dlsu.edu.ph/dlsu-woodpushers-cap-off-impressive-s87-run-with-new-milestones,N/A
https://www.dlsu.edu.ph/hungry-for-more-green-booters-go-all-in-as-they-enter-season-87,N/A
https://www.dlsu.edu.ph/viridis-arcus-clinch-uaap-valorant-gold-for-dlsu,N/A
https://www.dlsu.edu.ph/green-archers-clinch-finals-ticket-with-gritty-victory-over-nccu,N/A
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2024/2401V55N11.pdf,"Mar. 20, 2024Vol. 55 No.11, SPECIAL"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N13.pdf,"May. 19, 2024Vol. 55 No.13"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2024/2401V55N12.pdf,"Apr. 12, 2024Vol. 55 No.12"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2024/2401V55N08.pdf,"Jan. 29, 2024Vol. 55 No.8, SPECIAL"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N10.pdf,"Feb. 28, 2024Vol. 55 No.10"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2024/2401V55N09.pdf,"Feb. 14, 2024Vol. 55 No.9"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2024/2401V55N07.pdf,"Jan 12, 2024Vol. 55 No.07"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N06.pdf,"Dec 07, 2023Vol. 55 No.06"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N05.pdf,"Nov 22, 2023Vol. 55 No.05"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N04.pdf,"Nov 10, 2023Vol. 55 No.04"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N01.pdf,"Sept 11, 2023Vol. 55 No.01"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N03.pdf,"Oct 09, 2023Vol. 55 No.03"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/stratcom/2401/2023/2401V55N02.pdf,"Sept 25, 2023Vol. 55 No.02"
https://www.dlsu.edu.ph/newsletter,View More
https://www.dlsu.edu.ph/www.dlsu.edu.ph,De La Salle University
https://www.dlsu.edu.ph/accessibility,Accessibility
https://www.dlsu.edu.ph/contact-us-2,Contact us
https://my.dlsu.edu.ph,My.DLSU
https://animo.sys.dlsu.edu.ph,Animo.Sys
https://www.dlsu.edu.ph/Privacy,Privacy
https://www.dlsu.edu.ph/terms,Terms
https://www.dlsu.edu.ph/safe-space-act-ra11313,Safe Spaces Act |
https://www.dlsu.edu.ph/offices/registrar/cost-of-studies/request-for-documents,Request for Documents
https://animospace.dlsu.edu.ph,AnimoSpace (Canvas)
http://gateway.dlsu.edu.ph,DLSU Gateway
https://www.dlsu.edu.ph/bituin/hr,HRIS Portal
https://www.dlsu.edu.ph/southgate,Website Portal
https://www.dlsu.edu.ph/privacy,Privacy Policy
https://www.dlsu.edu.ph/inside/guiding-principles,Lasallian Guiding Principles
https://www.dlsu.edu.ph/inside/history-and-traditions,History and Traditions
https://www.dlsu.edu.ph/inside/university-governance,University Governance
https://www.dlsu.edu.ph/research/offices,Research Offices
https://www.dlsu.edu.ph/ovplm,The Lasallian Mission
https://www.dlsu.edu.ph/offices/ovplm/cosca/who-we-are/our-values/cef,Community Engagement Framework
https://www.dlsu.edu.ph/offices/ovplm/cosca/what-we-do,Community Engagement Projects
https://www.dlsu.edu.ph/offices/ovplm/cosca/research,Community Engagement Publications “Involved”
https://www.dlsu.edu.ph/faculty/visiting-faculty-scholars,Visiting Professors
https://www.dlsu.edu.ph/linkages,Linkages
https://www.dlsu.edu.ph/offices/erio,External Relations and Internationalization
https://www.dlsu.edu.ph/students/international/experience-dlsu,DLSU Experience
https://www.dlsu.edu.ph/category/institutional,See more >
https://www.dlsu.edu.ph/colleges/tdsol,Tañada-Diokno School of Law
https://www.dlsu.edu.ph/offices/osa/s-life,Student Life
https://www.dlsu.edu.ph/inside/campus-map,Campus Map
https://www.dlsu.edu.ph/inside/alma_mater,Alma Mater Hymn
https://www.dlsu.edu.ph/inside/lasalliana,Lasalliana
https://www.dlsu.edu.ph/inside/contact-information,Contact Information
https://www.dlsu.edu.ph/inside/organizations,Organizations
https://www.dlsu.edu.ph/inside/lasalliana/stjohn,St. John Baptist De La Salle
https://www.dlsu.edu.ph/inside/lasalliana/greenwhite,Why Green and White?
https://www.dlsu.edu.ph/inside/lasalliana/the-university-identity,The University Identity
https://www.dlsu.edu.ph/inside/lasalliana/style-guide,Style Guide
https://www.dlsu.edu.ph/inside/lasalliana/standards-visual-identity,Institutional Identification Manual 2025
https://www.dlsu.edu.ph/inside/www.dlsu.edu.ph,De La Salle University
https://www.dlsu.edu.ph/wp-content/uploads/2018/08/guiding-principles-2nd-edition.pdf,Guiding Principles of Philippine Lasallian Family 2nd Edition
https://www.dlsu.edu.ph/inside/guiding-principles/formation,Foundational Principles of Lasallian Formation
https://www.dlsu.edu.ph/inside/guiding-principles/education,Principles of Lasallian Education in the Philippines
https://www.dlsu.edu.ph/inside/guiding-principles/social-development,Principles of Lasallian Social Development
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Policy%20on%20Hiring%20and%20Employment%20of%20Relatives.pdf,Policy on Hiring and Employment of Relatives
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/safe-spaces-policy.pdf,Safe Spaces Policy and Program
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/mental-health.pdf,Mental Health Policy
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/digital-citizenship-policy.pdf,Digital Citizenship Policy
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Faculty%20Manual.pdf,Faculty Manual
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Downloadable%20Forms/13.%20Office%20of%20Personnel%20Management%20(OPM)/APSP%20Manual.pdf,APSP Manual
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/IS%20Faculty%20Manual.pdf,IS Faculty Manual
http://gateway.dlsu.edu.ph/sites/gateway/Institutional%20Manuals/Co-Academic%20Personnel%20Manual%20Revised%20%202012.pdf,CAP Manual
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/privacy-manual.pdf,Data Privacy Manual
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/social-media-guidelines-dlsu.pdf,Social Media Guidelines
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Code%20of%20Ethics%20for%20De%20La%20Salle%20University%20Faculty.pdf,Faculty Manual
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/policy-legal-review-and-approval-of-contracts.pdf,Policy on the Legal Review and Approval of Contracts
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/policy-on-signatory-authorithy-of-contracts.pdf,Policy on Signatory Authority of Contracts
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/policy-on-legal-document-management.pdf,Legal Documents Management Policy
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/faculty-manual-2021.pdf,Code of Ethics for De La Salle University Faculty
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/is-faculty-manual.pdf,Code of Ethics for Integrated School Faculty
